date,amount,category,description
2024-01-01,1500,Rent,Monthly rent payment
2024-01-02,350,Groceries,Weekly grocery shopping
2024-01-03,45,Transport,Bus pass
2024-01-04,200,Entertainment,Movie and dinner
2024-01-05,80,Food,Coffee and snacks
2024-01-06,1200,Shopping,New laptop
2024-01-07,150,Utilities,Electricity bill
2024-01-08,90,Food,Restaurant lunch
2024-01-09,250,Health,Doctor visit
2024-01-10,60,Entertainment,Streaming subscription
2024-01-11,300,Groceries,Grocery shopping
2024-01-12,120,Transport,Fuel
2024-01-13,75,Food,Dinner out
2024-01-14,500,Shopping,Clothes
2024-01-15,180,Utilities,Internet bill
2024-02-01,1500,Rent,Monthly rent payment
2024-02-02,320,Groceries,Weekly grocery shopping
2024-02-03,45,Transport,Bus pass
2024-02-04,180,Entertainment,Concert tickets
2024-02-05,95,Food,Brunch
2024-02-06,450,Shopping,Shoes
2024-02-07,150,Utilities,Electricity bill
2024-02-08,70,Food,Restaurant
2024-02-09,200,Health,Medicine
2024-02-10,60,Entertainment,Streaming subscription
2024-02-11,280,Groceries,Grocery shopping
2024-02-12,130,Transport,Fuel
2024-02-13,85,Food,Dinner
2024-02-14,600,Entertainment,Valentine's Day
2024-02-15,180,Utilities,Internet bill
2024-03-01,1500,Rent,Monthly rent payment
2024-03-02,340,Groceries,Weekly grocery shopping
2024-03-03,45,Transport,Bus pass
2024-03-04,220,Entertainment,Game night
2024-03-05,105,Food,Lunch out
2024-03-06,800,Shopping,Electronics
2024-03-07,150,Utilities,Electricity bill
2024-03-08,95,Food,Restaurant
2024-03-09,150,Health,Pharmacy
2024-03-10,60,Entertainment,Streaming subscription
